epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1426,2.42864,14.0376,1.63358,0.0017,0.02564,0.00355,0.00071,2.78619,7.41323,1.64604,0.00048343,0.00048343,0.00048343
2,22.1287,2.60631,12.0876,1.72567,0,0,0,0,3.04986,6.61655,2.15316,0.000977039,0.000977039,0.000977039
3,27.8882,2.73459,11.1075,1.9104,3e-05,0.00877,2e-05,1e-05,3.26108,7.01796,3.5668,0.00146405,0.00146405,0.00146405
4,33.5283,2.74069,9.97741,1.9466,0.26088,0.03509,0.04114,0.01227,3.38793,5.07961,4.40555,0.00163399,0.00163399,0.00163399
5,39.1857,2.82871,8.26101,1.88314,0.28886,0.08798,0.07604,0.02929,3.16986,4.30018,2.21456,0.00162299,0.00162299,0.00162299
6,44.8579,2.85056,7.55899,1.85977,0.14945,0.07827,0.05548,0.01021,2.99007,3.90001,2.45759,0.00161199,0.00161199,0.00161199
7,50.4594,2.90545,6.24967,1.94771,0.28924,0.06073,0.07079,0.01962,2.92137,3.46427,2.056,0.00160099,0.00160099,0.00160099
8,56.1384,2.69097,5.14367,1.84271,0.16323,0.1525,0.10906,0.02617,2.87698,3.59047,2.2132,0.00158998,0.00158998,0.00158998
9,61.7769,2.81485,5.11297,1.95649,0.1652,0.17409,0.1031,0.03217,2.852,3.26372,1.98012,0.00157898,0.00157898,0.00157898
10,67.4721,2.65264,4.36635,1.83997,0.38845,0.17814,0.15306,0.05317,2.7215,3.20422,1.79488,0.00156798,0.00156798,0.00156798
11,73.139,2.59521,4.20861,1.78052,0.24139,0.17409,0.09185,0.02864,2.74287,3.57889,1.84851,0.00155698,0.00155698,0.00155698
12,78.8508,2.57316,4.02711,1.75677,0.40376,0.18286,0.19205,0.08598,2.56425,2.64771,1.7073,0.00154598,0.00154598,0.00154598
13,84.4779,2.49011,3.90456,1.69252,0.29221,0.22672,0.20002,0.08112,2.57486,2.45346,1.66743,0.00153497,0.00153497,0.00153497
14,90.1072,2.52216,3.65515,1.74442,0.33942,0.25641,0.20902,0.08601,2.61838,2.56732,1.76845,0.00152397,0.00152397,0.00152397
15,95.6991,2.4374,3.33994,1.70539,0.3525,0.19636,0.17588,0.06836,2.66447,2.37659,1.7528,0.00151297,0.00151297,0.00151297
16,101.303,2.4157,3.29407,1.67659,0.32911,0.22015,0.222,0.07952,2.55369,2.54614,1.73329,0.00150197,0.00150197,0.00150197
