epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8129,2.48916,37.8121,1.76322,4e-05,0.02564,2e-05,0,3.14933,50.165,2.10792,0.000547729,0.000547729,0.000547729
2,40.6245,2.82303,31.7142,1.84524,2e-05,0.01282,1e-05,0,4.17974,22.9105,2.91618,0.00109611,0.00109611,0.00109611
3,53.2954,3.439,21.944,2.13281,9e-05,0.06478,0.00018,6e-05,4.06272,5.01295,16.55,0.00163716,0.00163716,0.00163716
4,65.8626,3.7331,13.5028,2.39891,0.00022,0.00877,0.00105,0.0001,3.64485,4.43332,2.24706,0.00163399,0.00163399,0.00163399
5,78.4235,3.53125,8.54688,2.34392,0.01242,0.03509,0.00707,0.00186,3.73325,4.6879,2.65519,0.00162299,0.00162299,0.00162299
6,90.9019,3.5052,7.14352,2.30526,0.01053,0.01754,0.00584,0.00202,3.47151,4.79522,2.25962,0.00161199,0.00161199,0.00161199
7,103.392,3.39982,6.14586,2.30997,0.00207,0.09649,0.00533,0.00195,nan,nan,nan,0.00160099,0.00160099,0.00160099
8,115.979,3.29771,5.89203,2.15924,0.00123,0.0614,0.00315,0.00085,3.42341,4.48755,4.32053,0.00158998,0.00158998,0.00158998
9,128.44,3.39242,5.7544,2.31232,0.02403,0.1444,0.03819,0.00777,3.37853,4.3052,2.0973,0.00157898,0.00157898,0.00157898
10,140.929,3.19214,5.57683,2.03478,0.00996,0.18421,0.03319,0.00806,3.16561,4.38835,1.96301,0.00156798,0.00156798,0.00156798
11,153.399,3.17184,5.50141,2.14024,0.02039,0.16667,0.04346,0.01453,3.26672,4.32324,2.02209,0.00155698,0.00155698,0.00155698
12,165.879,3.29101,5.35785,2.1586,0.52779,0.18421,0.07885,0.02217,3.07934,4.02363,2.00027,0.00154598,0.00154598,0.00154598
13,178.411,3.09226,5.02164,2.16397,0.01053,0.23549,0.06048,0.02353,3.1044,4.05476,1.8559,0.00153497,0.00153497,0.00153497
14,190.845,3.04173,5.06388,2.01334,0.02382,0.2274,0.07089,0.02282,3.0393,4.34535,1.90264,0.00152397,0.00152397,0.00152397
15,203.303,3.01876,5.15644,2.03799,0.00613,0.28205,0.05612,0.02116,3.26567,4.16406,2.08251,0.00151297,0.00151297,0.00151297
16,215.783,2.94582,4.91937,1.98056,0.63299,0.04386,0.04549,0.01403,3.25597,4.15489,2.01113,0.00150197,0.00150197,0.00150197
17,228.314,2.94975,4.67769,1.97263,0.61084,0.03509,0.03022,0.01076,2.96319,3.96113,1.9173,0.00149096,0.00149096,0.00149096
18,240.846,3.00601,4.85539,1.93574,0.69605,0.0614,0.07254,0.01879,3.12479,3.46797,2.15918,0.00147996,0.00147996,0.00147996
19,253.401,2.79649,4.86132,1.97867,0.81914,0.08772,0.10824,0.03823,2.82692,3.55623,1.90019,0.00146896,0.00146896,0.00146896
20,265.871,2.82359,4.53036,1.92421,0.01739,0.29555,0.08959,0.03046,3.07364,4.11488,1.87148,0.00145796,0.00145796,0.00145796
21,278.423,2.93474,4.38445,1.90092,0.2036,0.12281,0.10535,0.03324,3.02027,3.40876,1.90656,0.00144696,0.00144696,0.00144696
22,290.854,2.74762,4.19123,1.85999,0.21531,0.11948,0.11988,0.04841,2.77484,3.40985,1.94863,0.00143595,0.00143595,0.00143595
23,303.295,2.79828,4.11862,1.86278,0.25439,0.1525,0.12757,0.04412,2.77173,3.18786,1.7931,0.00142495,0.00142495,0.00142495
24,315.817,2.8433,4.31732,1.95006,0.36131,0.08996,0.11476,0.04733,2.90511,3.41232,1.89485,0.00141395,0.00141395,0.00141395
25,328.319,2.71517,4.25362,1.85832,0.61745,0.04386,0.03066,0.01148,3.08165,4.18268,2.06188,0.00140295,0.00140295,0.00140295
